"code","name",2020,2021,2022,2023
"DE-BW","Baden-Württemberg",1348670.75,1521313,2030641.5,2048633
"DE-BY","Bayern",1630549,1667321.25,2198453,2361515.5
"DE-BE","Berlin",1613148.25,1529818.25,2068283.75,2300638.5
"DE-BB","Brandenburg",283087,358458,457659.75,427736.5
"DE-HB","Bremen",119527.25,98296.5,109731.75,129282
"DE-HH","Hamburg",803017.5,897564,1173835,1345097
"DE-HE","Hessen",5605672.5,5062223.5,8234665.25,7750530
"DE-MV","Mecklenburg-Vorpommern",306897.5,287091.25,416580.75,759304
"DE-NI","Niedersachsen",1104185.75,1035280.25,1402711,1398590.5
"DE-NW","Nordrhein-Westfalen",2964060.75,3146757.5,3939505.75,4034304
"DE-RP","Rheinland-Pfalz",509611.25,545596,626192.75,657726
"DE-SL","Saarland",76577.25,95576.25,124356.25,116633.5
"DE-ST","Sachsen",543037,555234.5,837987.25,778986.5
"DE-SN","Sachsen-Anhalt",406934.25,404614.75,563129.25,541445
"DE-SH","Schleswig-Holstein",278082.5,207912,276105.5,260411.5
"DE-TH","Thüringen",207080.5,214140.25,295036.25,292484.5