"code","name","oepnv","car"
"DE-BW","Baden-Württemberg",485.87,7536.76
"DE-BY","Bayern",496.36,7257.74
"DE-BE","Berlin",1761.04,3616.73
"DE-BB","Brandenburg",447.38,7218.68
"DE-HB","Bremen",702.97,5035.80
"DE-HH","Hamburg",1733.93,4569.55
"DE-HE","Hessen",3563.03,7309.53
"DE-MV","Mecklenburg-Vorpommern",762.11,5818.32
"DE-NI","Niedersachsen",551.86,7473.55
"DE-NW","Nordrhein-Westfalen",661.42,6746.79
"DE-RP","Rheinland-Pfalz",497.38,7683.50
"DE-SL","Saarland",311.29,8697.23
"DE-ST","Sachsen-Anhalt",535.42,6224.39
"DE-SN","Sachsen",746.43,7628.80
"DE-SH","Schleswig-Holstein",382.13,8013.05
"DE-TH","Thürigen",390.67,6550.68